,sigma_sq,alpha
120,2.430070945,11.29644788
121,2.664623344,10.25178477
122,3.328655582,9.805867286
123,3.666366759,12.68562825
124,3.481049971,9.869951186
125,2.527458462,16.71004325
126,3.861153182,14.98355006
127,3.72298104,12.03590654
128,4.131944498,11.46037464
129,3.856537338,15.19567079
130,3.493722579,12.21509327
131,3.493638642,18.36566068
132,2.883543079,10.66527545
133,2.79839872,12.60843164
134,5.351962844,14.13504023
135,3.389916109,10.01288435
136,2.938011377,14.66358972
137,3.082197274,18.66418783
138,3.032312222,10.5695122
139,2.732206177,12.7390758
140,2.822406923,13.65242578
141,2.666247527,11.56004696
142,3.647253687,11.33943416
143,3.805463011,19.48305136
144,4.285295849,17.31898492
145,3.846426283,11.14773252
146,3.79554323,11.04101269
147,2.76822816,15.74318585
148,3.226123249,11.05206969
149,3.31923387,13.27032653
150,3.106154612,13.06181033
151,3.087536489,9.854224246
152,2.653435987,12.29131192
153,4.00174162,9.357742743
154,4.60212404,9.096163406
155,3.51657892,10.36069524
156,3.954674122,12.71533397
157,2.344208422,14.27582719
158,2.669822373,12.2715778
159,2.252089716,11.23865056
160,2.473263444,12.2860626
161,2.5444541,12.4709282
162,3.202498687,15.58566066
163,2.931916024,9.247626348
164,2.90315276,12.73513176
165,2.444112637,18.15462839
166,2.872970823,13.50188659
167,3.005380606,8.616266694
168,2.869509257,8.291477333
169,2.957146639,13.30995103
170,3.566848104,11.31783111
171,2.338414823,13.61129436
172,3.601725004,12.48167566
173,2.682434091,10.05449664
174,2.948599385,13.274631
175,3.356617827,11.32034349
176,3.130574622,13.15955278
177,3.188195468,12.1271101
178,3.405115313,10.25775855
179,2.996093803,10.99210464
180,3.142106275,9.567760561
181,2.924765636,11.47544765
182,2.73420623,12.59613508
183,2.788529951,10.44188721
184,3.919445014,13.19166723
185,3.472222378,11.38531778
186,2.990248719,11.48214451
187,3.183822399,13.57228186
188,3.55363191,21.32342178
189,2.55178799,16.89993031
190,2.59388723,11.91035813
191,3.060407551,13.26688679
192,3.556412293,16.93448844
193,2.304699437,13.26446848
194,3.525729411,14.09729301
195,2.978520249,12.89343786
196,3.184534427,16.41461794
197,2.274889012,12.43709591
198,3.093772122,14.9951636
199,3.473332627,10.93483564
200,2.939726512,11.20554556
201,2.782695071,13.81986745
202,2.979165072,8.87294744
203,2.513351871,19.34328703
204,2.675985805,11.45270882
205,3.3683576,12.83697953
206,3.60559741,13.62898453
207,3.660167839,19.27180714
208,2.54004603,14.93578533
209,4.055216713,13.28634992
210,3.217052241,12.19503447
211,2.861138005,9.338692343
212,3.288293301,8.831398661
213,2.243424023,12.01109539
214,2.90930478,8.326738924
215,3.749391866,19.91047244
216,3.272989943,12.26608806
217,4.744200938,15.51663249
218,3.046142649,13.26471846
